id,tested_positive
0,20.577398
1,2.290623
2,2.277346
3,11.139742
4,2.7404041
5,28.267159
6,26.072187
7,6.458584
8,11.098097
9,9.816759
10,17.730839
11,20.785206
12,22.444712
13,12.975537
14,20.614996
15,19.187551
16,29.062449
17,7.7644057
18,22.499722
19,2.931379
20,5.102137
21,23.830933
22,18.748592
23,14.035174
24,11.866939
25,28.075783
26,25.404486
27,27.64623
28,6.869425
29,19.089588
30,10.438896
31,6.7562814
32,27.226204
33,11.8409
34,22.28533
35,30.40249
36,12.56623
37,7.1062207
38,15.107859
39,8.391837
40,14.932861
41,4.4929056
42,7.680923
43,17.304426
44,6.4025736
45,16.06765
46,14.602049
47,3.0426824
48,6.1703854
49,15.996656
50,16.35741
51,13.003086
52,13.062777
53,7.1245537
54,13.084513
55,30.240925
56,9.542883
57,15.721816
58,33.773933
59,10.519558
60,20.193333
61,21.927137
62,25.975471
63,22.959263
64,18.16472
65,3.9727836
66,12.993161
67,23.227196
68,32.739582
69,17.125153
70,19.921371
71,16.121843
72,12.370685
73,25.786768
74,12.538295
75,2.5155914
76,18.380676
77,13.068671
78,7.89546
79,5.9943123
80,17.918264
81,10.710736
82,11.476839
83,15.171073
84,8.933335
85,17.492281
86,23.838783
87,11.036081
88,5.936796
89,16.915913
90,27.91585
91,35.76104
92,17.487482
93,5.2968116
94,11.217464
95,11.162891
96,11.277376
97,22.619835
98,10.975196
99,11.849173
100,5.465322
101,6.671232
102,15.219341
103,12.483347
104,2.7210803
105,32.27774
106,28.710224
107,11.354922
108,20.282326
109,9.156139
110,13.923056
111,5.982899
112,20.4842
113,24.440475
114,15.664712
115,10.0105095
116,9.195107
117,28.74823
118,19.782505
119,12.067654
120,11.565719
121,23.630697
122,8.537223
123,19.796608
124,32.966354
125,11.569371
126,11.254259
127,5.4542894
128,3.257364
129,10.690093
130,17.370161
131,13.138359
132,13.124931
133,15.401949
134,23.309036
135,18.810997
136,22.904556
137,4.674355
138,16.208591
139,32.812653
140,25.375858
141,17.756992
142,25.976513
143,26.484915
144,11.851772
145,35.986275
146,4.1506653
147,12.311324
148,19.350048
149,15.688719
150,21.597534
151,7.6787252
152,20.679466
153,3.861626
154,33.625042
155,16.959341
156,16.757393
157,26.897682
158,17.391567
159,17.790182
160,18.02504
161,23.33525
162,13.324459
163,15.047682
164,16.52065
165,24.22302
166,28.07511
167,16.295101
168,28.82089
169,16.67101
170,12.043808
171,11.9722
172,25.209412
173,39.42752
174,21.445423
175,4.9012313
176,6.7746964
177,32.817184
178,28.572653
179,24.454285
180,15.903843
181,24.12152
182,26.436644
183,9.530708
184,19.578041
185,9.89799
186,19.291027
187,4.786918
188,12.611733
189,25.826994
190,3.9470341
191,23.86287
192,25.797853
193,6.9012256
194,12.596495
195,30.290497
196,7.4712143
197,27.067293
198,11.47418
199,18.807724
200,24.255562
201,16.67861
202,23.214369
203,12.562011
204,26.60881
205,21.181702
206,15.053532
207,28.930794
208,16.694548
209,7.9215508
210,8.841465
211,16.499817
212,31.207262
213,4.887726
214,11.067314
215,13.230753
216,6.6473503
217,14.139156
218,10.302923
219,10.085083
220,15.418843
221,8.888994
222,14.465453
223,13.0715065
224,24.273016
225,20.668545
226,14.262777
227,6.454044
228,10.124542
229,33.23536
230,16.318558
231,6.5838647
232,13.672604
233,21.21423
234,9.67644
235,32.56421
236,19.538214
237,20.25264
238,20.4858
239,31.3907
240,12.1048355
241,27.809933
242,28.910412
243,29.133633
244,12.377858
245,10.0672
246,14.787066
247,27.428524
248,19.649994
249,11.866787
250,22.584904
251,15.819976
252,20.635155
253,10.499244
